"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7","Factor8","Factor9","Factor10","Factor11","Factor12"
"PIK3CA",-0.375,-0.046,0.172,0.163,0.589,0.039,0.117,0.007,-0.035,0.357,0.129,0.143
"MAFB",0.111,-0.323,-0.545,-0.219,-0.079,-0.095,0.105,-0.026,0.378,-0.039,0.336,-0.055
"AKT1",-0.127,0.655,0.42,-0.116,-0.092,-0.358,-0.184,-0.103,-0.052,0.076,0.046,-0.064
"IBTK",-0.027,0.398,0.097,0.594,-0.055,0.194,0.048,0.188,-0.25,0.236,0.026,0.077
"NCK2",0.056,-0.103,-0.422,0.096,-0.019,0.054,-0.25,0.108,-0.068,-0.079,0.187,0.215
"MTOR",-0.112,0.503,0.624,0.269,0.103,0.107,0.019,0.122,-0.008,-0.037,0.144,-0.085
"ACTG1",0.159,0.654,-0.026,-0.046,-0.204,-0.175,-0.083,0.347,-0.469,-0.072,-0.059,0.233
"EIF2B1",-0.391,0.515,0.334,0.027,0.125,-0.31,-0.102,-0.044,-0.059,0.125,-0.023,-0.024
"EIF2S3",0.069,0.516,-0.12,0.253,0.067,0.034,0.643,-0.107,-0.079,-0.02,-0.009,0.018
"PPP1CA",-0.602,0.628,0.202,0.125,-0.272,0.109,-0.039,-0.069,0.027,-0.127,0.053,0.012
"RPL7",0.166,0.395,-0.61,0.226,0.209,-0.155,0.04,0.202,-0.103,-0.015,-0.17,-0.203
"PTPN1",-0.239,0.353,0.808,-0.048,0.19,-0.023,-0.041,0.004,0.002,0.155,0.026,0.064
"SESN2",0.131,-0.259,0.259,0.771,0.03,0.136,0.084,0.134,0.084,-0.168,0.027,-0.088
"WARS1",-0.126,0.121,0.018,0.896,0.1,0.153,0.084,-0.173,0.033,-0.119,0.023,0.08
"BCL2L11",0.399,-0.36,-0.618,0.103,-0.025,0.071,-0.022,0.063,0.332,-0.168,-0.067,0.075
"PTPN2",0.199,0.449,0.014,-0.043,-0.331,-0.26,0.205,-0.046,0.051,0.107,-0.052,-0.312
"ERN1",0.815,-0.313,-0.034,0.175,-0.003,0.05,0.185,0.025,-0.058,0.05,-0.064,0.203
"ERO1A",-0.058,-0.183,-0.559,-0.247,0.101,0.24,0.046,-0.156,-0.251,0.17,0.396,0.17
"PPP1R15A",0.819,0.114,-0.389,-0.087,-0.065,-0.064,-0.081,0.067,0.137,-0.123,-0.042,0.014
"PPP1R15B",0.147,-0.132,0.108,0.33,-0.198,-0.333,-0.087,0.49,0.461,0.041,0.074,0.071
"TRIB3",0.623,-0.073,-0.172,0.696,-0.045,0.012,0.111,-0.008,-0.066,-0.12,0.108,0.112
"XBP1",0.485,0.158,-0.145,0.706,-0.283,-0.036,0.058,-0.073,0.032,0.139,0.107,0.129
"TMEM33",0.412,0.579,0.249,0.227,-0.022,0.292,0.158,-0.183,0.071,0.15,0.139,0.018
"ERCC1",0.083,0.331,-0.317,-0.043,-0.175,-0.471,0.051,-0.069,-0.002,-0.077,0.05,-0.228
"ERCC2",0.312,0.634,-0.047,0.006,-0.162,0.003,-0.033,0.233,-0.47,-0.159,-0.014,0.202
"ERCC3",0.097,0.265,-0.114,0.161,0.277,0.189,-0.484,0.065,-0.048,0.129,0.09,-0.001
"GADD45A",0.814,0.247,0.184,0.058,0.045,0.092,0.11,-0.006,-0.073,0.113,0.046,-0.218
"BNIP3L",0.154,-0.173,-0.651,-0.233,0.424,-0.005,-0.067,0.127,-0.021,0.047,0.081,0.179
"ATF3",0.351,-0.133,-0.061,-0.001,-0.155,0.156,0.084,0.575,0.036,-0.005,0.17,0.086
"ATF5",0.195,-0.053,0.035,0.058,-0.202,0.077,0.651,0.207,-0.034,-0.045,0.047,0.274
"CBX4",0.797,0.217,0.144,0.156,-0.032,-0.169,-0.045,0.293,-0.095,0.046,0.035,-0.012
"EGLN2",0.277,0.283,-0.277,-0.115,-0.067,0.001,-0.198,-0.037,0.073,-0.606,-0.084,0.039
"EGLN3",-0.026,-0.528,-0.323,-0.34,-0.01,-0.235,0.004,-0.161,-0.044,0.074,0.037,0.284
"LMO4",0.228,-0.063,-0.375,0.375,-0.008,0.024,0.142,0.315,-0.104,-0.035,-0.103,0.346
"NFKB1",-0.31,0.153,-0.352,0.006,-0.054,0.029,0.076,-0.231,0.578,-0.316,-0.011,0.006
"TFE3",0.439,0.67,0.01,0.037,0.013,0.03,-0.05,0.061,-0.089,-0.049,-0.227,0.027
"TFEB",0.562,0.081,0.027,-0.226,0.032,-0.398,-0.111,-0.105,0.142,-0.039,-0.281,0.08
"TXNIP",-0.249,-0.013,0.192,0.185,0.423,0.002,-0.075,-0.357,0.23,0.092,-0.026,-0.146
"BIRC7",0.204,-0.251,-0.103,-0.177,-0.234,-0.066,0.082,-0.153,-0.068,-0.081,0.103,0.182
"NAIP",-0.461,-0.715,-0.183,0.16,-0.132,0.015,0.085,0.099,0.039,0.139,0.057,-0.012
"NUPR1",0.518,0.15,-0.003,0.254,0.438,-0.239,0.001,-0.086,-0.067,-0.366,0.081,0.098
"PMAIP1",0.08,0.087,0.092,0.356,-0.47,0.205,-0.165,0.129,0.024,0.116,-0.029,-0.483
"SIAH1",0.45,-0.093,-0.71,0.203,-0.147,0.118,-0.104,0.145,0.134,0.012,-0.112,0.146
"SIAH2",0.651,-0.042,-0.224,0.354,-0.037,-0.361,-0.086,0.141,-0.1,0.195,-0.02,0.249
"TNFRSF10B",0.598,0.058,0.259,0.424,0.28,0.363,-0.037,0.116,-0.104,0.021,0.03,-0.204
"XIAP",0.56,0.015,-0.014,0.076,0.066,0.518,0.203,0.116,-0.046,0.058,-0.063,0.339
